"filename", "language", "Draw.io", "Python", "JSON", "HTML", "JavaScript", "Markdown", "PostCSS", "PowerShell", "comment", "blank", "total"
"c:\time_server\README.md", "Markdown", 0, 0, 0, 0, 0, 75, 0, 0, 0, 33, 108
"c:\time_server\codeviz-diagram-2025-06-08T09-35-00.drawio", "Draw.io", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158
"c:\time_server\codeviz-diagram-2025-06-09T19-39-52.drawio", "Draw.io", 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 191
"c:\time_server\grafana.py", "Python", 0, 80, 0, 0, 0, 0, 0, 0, 0, 32, 112
"c:\time_server\history.json", "JSON", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 87
"c:\time_server\long_session_alert.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\time_server\main_program_time.py", "Python", 0, 630, 0, 0, 0, 0, 0, 0, 8, 109, 747
"c:\time_server\plugins\bug.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 4, 3, 15
"c:\time_server\plugins\long_session_alert.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\time_server\plugins\push_notifications.py", "Python", 0, 59, 0, 0, 0, 0, 0, 0, 0, 7, 66
"c:\time_server\powershell\test.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"c:\time_server\powershell\test2.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\time_server\powershell\test3.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\time_server\powershell\test\test.py", "Python", 0, 85, 0, 0, 0, 0, 0, 0, 4, 16, 105
"c:\time_server\powershell\test\test2.py", "Python", 0, 38, 0, 0, 0, 0, 0, 0, 0, 9, 47
"c:\time_server\static\css\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 310, 0, 0, 8, 318
"c:\time_server\static\js\main.js", "JavaScript", 0, 0, 0, 0, 85, 0, 0, 0, 18, 18, 121
"c:\time_server\templates\home.html", "HTML", 0, 0, 0, 88, 0, 0, 0, 0, 0, 4, 92
"c:\time_server\templates\index.html", "HTML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 24
"c:\time_server\templates\login.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\time_server\templates\profile.html", "HTML", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 22
"c:\time_server\templates\register.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"c:\time_server\time_server_start.py", "Python", 0, 157, 0, 0, 0, 0, 0, 0, 3, 40, 200
"c:\time_server\zip.py", "Python", 0, 57, 0, 0, 0, 0, 0, 0, 8, 11, 76
"Total", "-", 349, 1140, 87, 173, 85, 75, 310, 20, 45, 300, 2584
